barangay,date,incident_count
Addition Hills,2010-05,1
Addition Hills,2010-10,1
Addition Hills,2011-01,3
Addition Hills,2011-03,1
Addition Hills,2011-06,3
Addition Hills,2011-11,2
Addition Hills,2011-12,3
Addition Hills,2012-01,2
Addition Hills,2012-02,1
Addition Hills,2012-03,1
Addition Hills,2012-04,2
Addition Hills,2012-05,1
Addition Hills,2012-06,3
Addition Hills,2012-07,2
Addition Hills,2012-08,3
Addition Hills,2012-10,1
Addition Hills,2012-11,1
Addition Hills,2012-12,1
Addition Hills,2013-01,1
Addition Hills,2013-02,2
Addition Hills,2013-03,1
Addition Hills,2013-04,4
Addition Hills,2013-05,1
Addition Hills,2013-06,1
Addition Hills,2013-08,2
Addition Hills,2013-11,2
Addition Hills,2013-12,2
Addition Hills,2014-01,2
Addition Hills,2014-02,1
Addition Hills,2014-03,1
Addition Hills,2014-04,1
Addition Hills,2014-05,3
Addition Hills,2014-06,1
Addition Hills,2014-07,3
Addition Hills,2014-09,4
Addition Hills,2014-11,1
Addition Hills,2015-03,2
Addition Hills,2015-04,4
Addition Hills,2015-05,1
Addition Hills,2015-06,5
Addition Hills,2015-08,3
Addition Hills,2015-09,1
Addition Hills,2015-10,3
Addition Hills,2015-11,5
Addition Hills,2015-12,2
Addition Hills,2016-01,6
Addition Hills,2016-02,2
Addition Hills,2016-03,1
Addition Hills,2016-08,2
Addition Hills,2016-09,1
Addition Hills,2016-10,1
Addition Hills,2016-11,3
Addition Hills,2016-12,1
Addition Hills,2017-02,3
Addition Hills,2017-03,1
Addition Hills,2017-04,2
Addition Hills,2017-05,1
Addition Hills,2017-06,1
Addition Hills,2017-07,1
Addition Hills,2017-08,2
Addition Hills,2017-11,1
Addition Hills,2017-12,2
Addition Hills,2018-01,4
Addition Hills,2018-02,1
Addition Hills,2018-03,2
Addition Hills,2018-05,2
Addition Hills,2018-06,4
Addition Hills,2018-07,1
Addition Hills,2018-08,2
Addition Hills,2018-10,3
Addition Hills,2018-11,1
Addition Hills,2019-01,1
Addition Hills,2019-02,1
Addition Hills,2019-10,1
Addition Hills,2019-11,1
Addition Hills,2020-01,1
Addition Hills,2020-02,1
Addition Hills,2020-05,1
Addition Hills,2020-06,2
Addition Hills,2020-07,2
Addition Hills,2021-02,3
Addition Hills,2021-11,2
Addition Hills,2022-01,2
Addition Hills,2022-03,2
Addition Hills,2022-12,2
