id,barangay,record_type,date,value,created_at,updated_at
5441,"Addition Hills","forecast","""2025-09-30T16:00:00.000Z""","1.043",,
5442,"Addition Hills","forecast","""2025-10-31T16:00:00.000Z""","0.564",,
5443,"Addition Hills","forecast","""2025-11-30T16:00:00.000Z""","0.399",,
5444,"Addition Hills","forecast","""2025-12-31T16:00:00.000Z""","0.488",,
5445,"Addition Hills","forecast","""2026-01-31T16:00:00.000Z""","0.483",,
5446,"Addition Hills","forecast","""2026-02-28T16:00:00.000Z""","0.486",,
5447,"Addition Hills","forecast","""2026-03-31T16:00:00.000Z""","0.484",,
5448,"Addition Hills","forecast","""2026-04-30T16:00:00.000Z""","0.484",,
5449,"Addition Hills","forecast","""2026-05-31T16:00:00.000Z""","0.49",,
5450,"Addition Hills","forecast","""2026-06-30T16:00:00.000Z""","0.486",,
5451,"Addition Hills","forecast","""2026-07-31T16:00:00.000Z""","0.486",,
5452,"Addition Hills","forecast","""2026-08-31T16:00:00.000Z""","0.486",,
5453,"Bagong Silang","forecast","""2025-09-30T16:00:00.000Z""","0.105",,
5454,"Bagong Silang","forecast","""2025-10-31T16:00:00.000Z""","0.035",,
5455,"Bagong Silang","forecast","""2025-11-30T16:00:00.000Z""","0.032",,
5456,"Bagong Silang","forecast","""2025-12-31T16:00:00.000Z""","0.035",,
5457,"Bagong Silang","forecast","""2026-01-31T16:00:00.000Z""","0.035",,
5458,"Bagong Silang","forecast","""2026-02-28T16:00:00.000Z""","0.034",,
5459,"Bagong Silang","forecast","""2026-03-31T16:00:00.000Z""","0.036",,
693,"Barangka Ilaya","actual","""2011-07-31T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
692,"Hulo","actual","""2020-08-31T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
694,"Hulo","actual","""2015-10-31T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
695,"Daang Bakal","actual","""2015-04-30T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
698,"Barangka Ilaya","actual","""2016-05-31T16:00:00.000Z""","4",,"""2025-10-27T01:52:24.405Z"""
699,"Addition Hills","actual","""2017-04-30T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
701,"Barangka Ibaba","actual","""2018-04-30T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
702,"Plainview","actual","""2011-09-30T16:00:00.000Z""","2",,"""2025-10-27T01:52:24.405Z"""
703,"Barangka Itaas","actual","""2024-05-31T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
704,"Pleasant Hills","actual","""2022-06-30T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
705,"Hagdang Bato Libis","actual","""2015-11-30T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
1308,"Vergara","actual","""2024-11-30T16:00:00.000Z""","1",,"""2025-10-27T01:52:24.405Z"""
5460,"Bagong Silang","forecast","""2026-04-30T16:00:00.000Z""","0.033",,
5461,"Bagong Silang","forecast","""2026-05-31T16:00:00.000Z""","0.034",,
5462,"Bagong Silang","forecast","""2026-06-30T16:00:00.000Z""","0.033",,
5463,"Bagong Silang","forecast","""2026-07-31T16:00:00.000Z""","0.034",,
5464,"Bagong Silang","forecast","""2026-08-31T16:00:00.000Z""","0.033",,
5465,"Barangka Drive","forecast","""2025-09-30T16:00:00.000Z""","0.158",,
5466,"Barangka Drive","forecast","""2025-10-31T16:00:00.000Z""","0.159",,
5467,"Barangka Drive","forecast","""2025-11-30T16:00:00.000Z""","0.158",,
5468,"Barangka Drive","forecast","""2025-12-31T16:00:00.000Z""","0.159",,
5469,"Barangka Drive","forecast","""2026-01-31T16:00:00.000Z""","0.159",,
5470,"Barangka Drive","forecast","""2026-02-28T16:00:00.000Z""","0.159",,
5471,"Barangka Drive","forecast","""2026-03-31T16:00:00.000Z""","0.176",,
5472,"Barangka Drive","forecast","""2026-04-30T16:00:00.000Z""","0.16",,
5473,"Barangka Drive","forecast","""2026-05-31T16:00:00.000Z""","0.161",,
5474,"Barangka Drive","forecast","""2026-06-30T16:00:00.000Z""","0.163",,
5475,"Barangka Drive","forecast","""2026-07-31T16:00:00.000Z""","0.16",,
5476,"Barangka Drive","forecast","""2026-08-31T16:00:00.000Z""","0.163",,
5477,"Barangka Ibaba","forecast","""2025-09-30T16:00:00.000Z""","0.086",,
5478,"Barangka Ibaba","forecast","""2025-10-31T16:00:00.000Z""","0.086",,
5479,"Barangka Ibaba","forecast","""2025-11-30T16:00:00.000Z""","0.085",,
5480,"Barangka Ibaba","forecast","""2025-12-31T16:00:00.000Z""","0.086",,
5481,"Barangka Ibaba","forecast","""2026-01-31T16:00:00.000Z""","0.086",,
5482,"Barangka Ibaba","forecast","""2026-02-28T16:00:00.000Z""","0.086",,
5483,"Barangka Ibaba","forecast","""2026-03-31T16:00:00.000Z""","0.086",,
5484,"Barangka Ibaba","forecast","""2026-04-30T16:00:00.000Z""","0.086",,
5485,"Barangka Ibaba","forecast","""2026-05-31T16:00:00.000Z""","0.086",,
5486,"Barangka Ibaba","forecast","""2026-06-30T16:00:00.000Z""","0.085",,
5487,"Barangka Ibaba","forecast","""2026-07-31T16:00:00.000Z""","0.086",,
5488,"Barangka Ibaba","forecast","""2026-08-31T16:00:00.000Z""","0.086",,
5489,"Barangka Ilaya","forecast","""2025-09-30T16:00:00.000Z""","0.047",,
5490,"Barangka Ilaya","forecast","""2025-10-31T16:00:00.000Z""","0.26",,
5491,"Barangka Ilaya","forecast","""2025-11-30T16:00:00.000Z""","0.459",,
5492,"Barangka Ilaya","forecast","""2025-12-31T16:00:00.000Z""","0.145",,
5493,"Barangka Ilaya","forecast","""2026-01-31T16:00:00.000Z""","0.093",,
5494,"Barangka Ilaya","forecast","""2026-02-28T16:00:00.000Z""","0.279",,
5495,"Barangka Ilaya","forecast","""2026-03-31T16:00:00.000Z""","0.294",,
5496,"Barangka Ilaya","forecast","""2026-04-30T16:00:00.000Z""","0.274",,
5497,"Barangka Ilaya","forecast","""2026-05-31T16:00:00.000Z""","0.376",,
5498,"Barangka Ilaya","forecast","""2026-06-30T16:00:00.000Z""","0.328",,
5499,"Barangka Ilaya","forecast","""2026-07-31T16:00:00.000Z""","0.148",,
5500,"Barangka Ilaya","forecast","""2026-08-31T16:00:00.000Z""","0.047",,
5501,"Barangka Itaas","forecast","""2025-09-30T16:00:00.000Z""","0.122",,
5502,"Barangka Itaas","forecast","""2025-10-31T16:00:00.000Z""","0.122",,
5503,"Barangka Itaas","forecast","""2025-11-30T16:00:00.000Z""","0.122",,
5504,"Barangka Itaas","forecast","""2025-12-31T16:00:00.000Z""","0.122",,
5505,"Barangka Itaas","forecast","""2026-01-31T16:00:00.000Z""","0.122",,
5506,"Barangka Itaas","forecast","""2026-02-28T16:00:00.000Z""","0.122",,
5507,"Barangka Itaas","forecast","""2026-03-31T16:00:00.000Z""","0.122",,
5508,"Barangka Itaas","forecast","""2026-04-30T16:00:00.000Z""","0.143",,
5509,"Barangka Itaas","forecast","""2026-05-31T16:00:00.000Z""","0.143",,
5510,"Barangka Itaas","forecast","""2026-06-30T16:00:00.000Z""","0.131",,
5511,"Barangka Itaas","forecast","""2026-07-31T16:00:00.000Z""","0.128",,
5512,"Barangka Itaas","forecast","""2026-08-31T16:00:00.000Z""","0.126",,
5513,"Buayang Bato","forecast","""2025-09-30T16:00:00.000Z""","0.05",,
5514,"Buayang Bato","forecast","""2025-10-31T16:00:00.000Z""","0.051",,
5515,"Buayang Bato","forecast","""2025-11-30T16:00:00.000Z""","0.051",,
5516,"Buayang Bato","forecast","""2025-12-31T16:00:00.000Z""","0.051",,
5517,"Buayang Bato","forecast","""2026-01-31T16:00:00.000Z""","0.051",,
5518,"Buayang Bato","forecast","""2026-02-28T16:00:00.000Z""","0.051",,
5519,"Buayang Bato","forecast","""2026-03-31T16:00:00.000Z""","0.051",,
5520,"Buayang Bato","forecast","""2026-04-30T16:00:00.000Z""","0.051",,
5521,"Buayang Bato","forecast","""2026-05-31T16:00:00.000Z""","0.051",,
5522,"Buayang Bato","forecast","""2026-06-30T16:00:00.000Z""","0.051",,
5523,"Buayang Bato","forecast","""2026-07-31T16:00:00.000Z""","0.052",,
5524,"Buayang Bato","forecast","""2026-08-31T16:00:00.000Z""","0.05",,
5525,"Burol","forecast","""2025-09-30T16:00:00.000Z""","0",,
5526,"Burol","forecast","""2025-10-31T16:00:00.000Z""","0",,
5527,"Burol","forecast","""2025-11-30T16:00:00.000Z""","0",,
5528,"Burol","forecast","""2025-12-31T16:00:00.000Z""","0",,
5529,"Burol","forecast","""2026-01-31T16:00:00.000Z""","0",,
5530,"Burol","forecast","""2026-02-28T16:00:00.000Z""","0",,
5531,"Burol","forecast","""2026-03-31T16:00:00.000Z""","0",,
5532,"Burol","forecast","""2026-04-30T16:00:00.000Z""","0",,
5533,"Burol","forecast","""2026-05-31T16:00:00.000Z""","0",,
5534,"Burol","forecast","""2026-06-30T16:00:00.000Z""","0",,
5535,"Burol","forecast","""2026-07-31T16:00:00.000Z""","0",,
5536,"Burol","forecast","""2026-08-31T16:00:00.000Z""","0",,
5537,"Daang Bakal","forecast","""2025-09-30T16:00:00.000Z""","0.143",,
5538,"Daang Bakal","forecast","""2025-10-31T16:00:00.000Z""","0.078",,
5539,"Daang Bakal","forecast","""2025-11-30T16:00:00.000Z""","0.078",,
5540,"Daang Bakal","forecast","""2025-12-31T16:00:00.000Z""","0.075",,
5541,"Daang Bakal","forecast","""2026-01-31T16:00:00.000Z""","0.075",,
5542,"Daang Bakal","forecast","""2026-02-28T16:00:00.000Z""","0.075",,
5543,"Daang Bakal","forecast","""2026-03-31T16:00:00.000Z""","0.074",,
5544,"Daang Bakal","forecast","""2026-04-30T16:00:00.000Z""","0.075",,
5545,"Daang Bakal","forecast","""2026-05-31T16:00:00.000Z""","0.075",,
5546,"Daang Bakal","forecast","""2026-06-30T16:00:00.000Z""","0.059",,
5547,"Daang Bakal","forecast","""2026-07-31T16:00:00.000Z""","0.075",,
5548,"Daang Bakal","forecast","""2026-08-31T16:00:00.000Z""","0.075",,
5549,"Hagdang Bato Itaas","forecast","""2025-09-30T16:00:00.000Z""","0.058",,
5550,"Hagdang Bato Itaas","forecast","""2025-10-31T16:00:00.000Z""","0",,
5551,"Hagdang Bato Itaas","forecast","""2025-11-30T16:00:00.000Z""","0.05",,
5552,"Hagdang Bato Itaas","forecast","""2025-12-31T16:00:00.000Z""","0.055",,
5553,"Hagdang Bato Itaas","forecast","""2026-01-31T16:00:00.000Z""","0.055",,
5554,"Hagdang Bato Itaas","forecast","""2026-02-28T16:00:00.000Z""","0.055",,
5555,"Hagdang Bato Itaas","forecast","""2026-03-31T16:00:00.000Z""","0.055",,
5556,"Hagdang Bato Itaas","forecast","""2026-04-30T16:00:00.000Z""","0.055",,
5557,"Hagdang Bato Itaas","forecast","""2026-05-31T16:00:00.000Z""","0.055",,
5558,"Hagdang Bato Itaas","forecast","""2026-06-30T16:00:00.000Z""","0.048",,
5559,"Hagdang Bato Itaas","forecast","""2026-07-31T16:00:00.000Z""","0.048",,
5560,"Hagdang Bato Itaas","forecast","""2026-08-31T16:00:00.000Z""","0.055",,
5561,"Hagdang Bato Libis","forecast","""2025-09-30T16:00:00.000Z""","0.093",,
5562,"Hagdang Bato Libis","forecast","""2025-10-31T16:00:00.000Z""","0",,
5563,"Hagdang Bato Libis","forecast","""2025-11-30T16:00:00.000Z""","0.072",,
5564,"Hagdang Bato Libis","forecast","""2025-12-31T16:00:00.000Z""","0.062",,
5565,"Hagdang Bato Libis","forecast","""2026-01-31T16:00:00.000Z""","0.063",,
5566,"Hagdang Bato Libis","forecast","""2026-02-28T16:00:00.000Z""","0.063",,
5567,"Hagdang Bato Libis","forecast","""2026-03-31T16:00:00.000Z""","0.063",,
5568,"Hagdang Bato Libis","forecast","""2026-04-30T16:00:00.000Z""","0.063",,
5569,"Hagdang Bato Libis","forecast","""2026-05-31T16:00:00.000Z""","0.063",,
5570,"Hagdang Bato Libis","forecast","""2026-06-30T16:00:00.000Z""","0.063",,
5571,"Hagdang Bato Libis","forecast","""2026-07-31T16:00:00.000Z""","0.063",,
5572,"Hagdang Bato Libis","forecast","""2026-08-31T16:00:00.000Z""","0.063",,
5573,"Harapin ang Bukas","forecast","""2025-09-30T16:00:00.000Z""","0.068",,
5574,"Harapin ang Bukas","forecast","""2025-10-31T16:00:00.000Z""","0.068",,
5575,"Harapin ang Bukas","forecast","""2025-11-30T16:00:00.000Z""","0.068",,
5576,"Harapin ang Bukas","forecast","""2025-12-31T16:00:00.000Z""","0.068",,
5577,"Harapin ang Bukas","forecast","""2026-01-31T16:00:00.000Z""","0.068",,
5578,"Harapin ang Bukas","forecast","""2026-02-28T16:00:00.000Z""","0.068",,
5579,"Harapin ang Bukas","forecast","""2026-03-31T16:00:00.000Z""","0.068",,
5580,"Harapin ang Bukas","forecast","""2026-04-30T16:00:00.000Z""","0.068",,
5581,"Harapin ang Bukas","forecast","""2026-05-31T16:00:00.000Z""","0.068",,
5582,"Harapin ang Bukas","forecast","""2026-06-30T16:00:00.000Z""","0.067",,
5583,"Harapin ang Bukas","forecast","""2026-07-31T16:00:00.000Z""","0.067",,
5584,"Harapin ang Bukas","forecast","""2026-08-31T16:00:00.000Z""","0.068",,
