id,lat,lng,barangay,address,alarm_level,reported_at,resolved_at,duration_minutes,casualties,injuries,estimated_damage,cause,actions_taken,reported_by,verified_by,attachments,type_of_occupancy
"c8442d7b-3e51-4ca0-9c1d-a887250e9b17",14.5794,121.0359,"Wack-wack Greenhills","SHAW BLVD. COR. EDSA WACK WACK, M.C.","FOUA","""2015-10-28T00:00:00.000Z""","""2015-10-28T00:00:00.000Z""",,0,0,"3000","ELECTRICAL",,,,,"VEHICULAR"
"fe6424a1-06e3-4628-8304-0dce3029c439",14.5794,121.0359,"Addition Hills","ORTIGAS ST., BLK 34, ADD.HILLS, M.C.",,"""2015-10-28T00:00:00.000Z""","""2015-10-28T00:00:00.000Z""",,0,0,"0",,,,,,
"bacf15b3-6981-4e6a-8444-cdc529b0db3b",14.5794,121.0359,"Addition Hills","BLK 28 ADDITION HILLS, M.C.","FOUA","""2015-10-28T00:00:00.000Z""","""2015-10-28T00:00:00.000Z""",,0,0,"500","ELECTRICAL",,,,,"POST FIRE"
"66fd7aec-5d64-46ee-b4ed-de58ca468093",14.5794,121.0359,"Buayang Bato","ACACIA LANE HANGDANG BATO LIBIS, M.C.","FOUA","""2015-10-29T00:00:00.000Z""","""2015-10-29T00:00:00.000Z""",,0,0,"400","ELECTRICAL",,,,,"POST FIRE"
"4c340ed2-84ab-4e91-bad7-e2816824ad16",14.5794,121.0359,"Pleasant Hills","BAGNETIFY, NEAR CHERRY, LAUREL COR. SHAW, PLEASANT HILLS BLVD, M.C.","FOUA","""2015-10-29T00:00:00.000Z""","""2015-10-29T00:00:00.000Z""",,0,0,"500","ELECTRICAL",,,,,"POST FIRE"
"04234b1c-3baa-4c64-ad68-d5a98a00ead4",14.5794,121.0359,"Plainview","SAN RAFAEL FATIMA PLAINVIEW, M.C","FOUA","""2015-11-02T00:00:00.000Z""","""2015-11-02T00:00:00.000Z""",,0,0,"600","STRUCTURAL",,,,,"RESIDENTIAL"
"dc58b3f3-5bd4-40b8-9b5e-a32123ea23a6",14.5794,121.0359,"Pleasant Hills","MAX'S REST., LIBERTY CENTER,#312 SHAW BLVD. PLEASANT HILLS, M.C.","FOUA","""2015-11-02T00:00:00.000Z""","""2015-11-02T00:00:00.000Z""",,0,0,"20000","STRUCTURAL",,,,,"BUSINESS"
"8ca93251-e482-4713-988f-221dee8e0726",14.5794,121.0359,"Addition Hills","BLK. 38 BRGY ADDITION HILLS, M.C","FOUA","""2015-11-03T00:00:00.000Z""","""2015-11-03T00:00:00.000Z""",,0,0,"300","STRUCTURAL",,,,,"RESIDENTIAL"
"bb917ff6-109a-4952-96b4-8fe717c320cd",14.5794,121.0359,"Plainview","SAN FRANCISCO ST., CITY HOMES BRGY.PLAINVIEW, M.C.","FOUA","""2015-11-03T00:00:00.000Z""","""2015-11-03T00:00:00.000Z""",,0,0,"500","STRUCTURAL",,,,,"RESIDENTIAL"
"302f1be6-771e-47ff-b062-8facad369753",14.5794,121.0359,"Wack-wack Greenhills","GUADIX COR. EDSA, BRGY. WACK WACK, M.C","FOUA","""2015-11-03T00:00:00.000Z""","""2015-11-03T00:00:00.000Z""",,0,0,"200","ELECTRICAL",,,,,"POST FIRE"
"a26d0b89-8e60-49e3-b020-2c9ca469ea74",14.5794,121.0359,"Plainview","JOSE FABELLA ST., BRGY. PLAINVIEW, M.C.","FOUA","""2015-11-03T00:00:00.000Z""","""2015-11-03T00:00:00.000Z""",,0,0,"700","ELECTRICAL",,,,,"SERVICE WIRE"
"741a91cc-53c3-4a34-b47d-c7b4cfc1b3e6",14.5794,121.0359,"Addition Hills","BITAO ST.,BLK37 WELFAREVILLE COMP., BRGY. ADD. HILLS","4TH ALARM","""2015-11-06T00:00:00.000Z""","""2015-11-06T00:00:00.000Z""",,0,0,"400000","STRUCTURAL",,,,,"RESIDENTIAL"
