id,address,latitude,longitude,type_color,created_at,location,barangay_id,is_operational,static_pressure,remarks
2,"334 PALALI COR. DANSALAN ST, BRGY BARANGKA ILAYA, MANDALUYONG CITY",14.570837,121.044054,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E61000008350DEC7D1425E4089B14CBF44242D40",3,true,50,
3,"ILAYA 301 DANSALAN ST., BRGY BARANGKA ILAYA, MANDALUYONG CITY",14.572176,121.04399,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E610000077D66EBBD0425E40B91CAF40F4242D40",3,false,,
4,"EDSA COR. APO ST., BRGY BARANGKA ILAYA, MANDALUYONG CITY",14.571651,121.046656,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E6100000618A7269FC425E408E739B70AF242D40",3,true,50,
5,"ILAYA STREET COR. PINATUBO, BRGY BARANGKA ILAYA, MANDALUYONG CITY",14.569165,121.044857,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E6100000C9FFE4EFDE425E40410E4A9869232D40",3,true,50,"Other outlet is defective"
6,"PASIG RIVER NEAR VICTORIA STORE PHASE 1, BRGY. BUAYANG BATO, MANDALUYONG CITY",14.568892,121.049156,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E6100000BD19355F25435E407DE9EDCF45232D40",4,true,50,
7,"PIONER STREET COR. SHERIDAN, BRGY. BUAYANG BATO, MANDALUYONG CITY",14.570994,121.058136,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E610000019AE0E80B8435E40A96C585359242D40",4,false,,"Loose Thread"
8,"SHAW BLVRD COR. SHERIDAN STREET, BRGY. HIGHWAY HILLS, MANDALUYONG CITY",14.577867,121.05683,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E6100000A1DB4B1AA3435E4011E0F42EDE272D40",2,true,50,
9,"GREENFIELD DISTRICT UNITED STREET, BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.577356,121.054694,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E61000006552431B80435E407B4CA4349B272D40",2,true,50,
10,"EDSA COR, MANDISON STREET, BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.574123,121.049703,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E6100000D6E07D552E435E4048C32973F3252D40",2,false,,"No water supply"
11,"SULTAN STREET COR EDSA, BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.580703,121.052738,"BARREL/YELLOW","""2025-06-25T06:32:58.871Z""","0101000020E61000006A50340F60435E40D06053E751292D40",2,true,50,
12,"CALBAYOG STREET COR. ESTEBAN, BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.577514,121.048674,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E6100000988A8D791D435E40DCF63DEAAF272D40",2,true,50,
13,"30 DOMINGO M GUEVARA STREET COR. CALBAYOG, BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.579113,121.049534,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E61000009082A7902B435E407C60C77F81282D40",2,true,50,
14,"EDSA COR. DOMINGO M GUEVARA, BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.578405,121.051423,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E6100000C8D0B1834A435E408EAF3DB324282D40",2,true,50,
15,"RSG TOWNHOMES A-17 CALBAYOG ST, BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.5779,121.047134,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E6100000E621533E04435E4080B74082E2272D40",2,true,50,
16,"RSG TOWNHOMES J-4 CALBAYOG ST., BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.577633,121.047541,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E6100000060E68E90A435E40452E3883BF272D40",2,true,50,
17,"BANAHAW STREET COR. MARIVELES, BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.581203,121.048589,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E6100000817C09151C435E4097AC8A7093292D40",2,true,50,"Other outlet is defective"
18,"CALBAYOG STREET COR. SAMAT, BRGY. HIGHWAY HILLS MANDALUYONG CITY",14.582696,121.048731,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E61000004AD3A0681E435E4021054F21572A2D40",2,true,50,
19,"DR. JOSE FERNANDEZ, BRGY. HIGHWAY HILLS, MANDALUYONG CITY",14.582502,121.046691,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E61000001F813FFCFC425E408DB5BFB33D2A2D40",2,true,50,
20,"STANDFORD COR SHAW BLVD., BRGY. WACK WACK, MANDALUYONG CITY",14.586782,121.050165,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E6100000D99942E735435E4050C3B7B06E2C2D40",1,true,50,
21,"613 LEE STREET, BRGY. WACK WACK, MANDALUYONG CITY",14.58738,121.047292,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E6100000325706D506435E4022A64412BD2C2D40",1,false,,"Unserviceable 2 Sides Loose Tread"
22,"ORTIGAS AVE. LA SALLE GREEN HILLS, BRGY. WACK WACK, MANDALUYONG CITY",14.598207,121.051928,"BARREL/YELLOW","""2025-06-25T06:33:18.077Z""","0101000020E6100000CA6FD1C952435E40FF791A3048322D40",1,true,50,
23,"623 SHAW BLVD., BRGY. WACK WACK, MANDALUYONG CITY",14.584585,121.049722,"BARREL/YELLOW","""2025-06-25T06:34:57.757Z""","0101000020E610000012F92EA52E435E40DE76A1B94E2B2D40",1,true,50,
24,"BARANGAY WACK-WACK 571 WACK WACK ROAD ROYAL MANSION STREET, MANDALUYONG CITY",14.587484,121.052632,"BARREL/YELLOW","""2025-06-25T06:34:57.757Z""","0101000020E610000047AE9B525E435E40B6D8EDB3CA2C2D40",1,true,55,
