id,osm_id,name,operator,address,contact_phone,geom
2,"way/371679706","Mauway Fire Substation",,"Nueve de Pebrero Street, Mandaluyong",,"0103000020E6100000010000000500000030833122D1425E40CEAC003A27292D404264ECDFD0425E402EE00ACD1A292D40D545651ED4425E4095E535C016292D40C364AA60D4425E4035B22B2D23292D4030833122D1425E40CEAC003A27292D40"
3,"way/419618355","Greenfield District Fire Sub-station",,"Mayflower Street, Mandaluyong, Metro Manila 1550",,"0103000020E61000000100000005000000338232326D435E40F6A166A3CE272D40E7D6B5076B435E406B73AD07DD272D4047B4780C6A435E4058DF652BD4272D40935FF5366C435E40E20D1FC7C5272D40338232326D435E40F6A166A3CE272D40"
4,"way/777179991","Addition Hills Block 34 Fire Sub-station","community","Addition Hills, Mandaluyong",,"0103000020E610000001000000050000009F03CB1132425E402BDEC83CF22B2D40DA18E02733425E40E7919AD1EA2B2D402D9ED55D34425E40EE43DE72F52B2D40F288C04733425E4031900CDEFC2B2D409F03CB1132425E402BDEC83CF22B2D40"
6,"node/255066041","Mandaluyong Central Fire Station",,"Maysilo Circle, Mandaluyong, Metro Manila",,"0101000020E6100000CB8BA77922425E404070F0E082272D40"
8,"node/6544633980","Barangka Itaas Barangay Fire Station","community","Dedicas Street, Barangka Itaas, Mandaluyong",,"0101000020E6100000FF983160A4425E40AC973A23A5242D40"
10,"node/10913135790","Hulo Fire Sub Station","Bureau of Fire Protection;Fire District IV NCR","Coronado Street, Hulo, Mandaluyong, Metro Manila 1550","+63 2 8534 7450 +63 2 8532 2189","0101000020E610000096E82CB308425E4073AA6BA3F0232D40"
5,"node/255062128","Kalentong Fire Sub-station","Bureau of Fire Protection","Kalentong, Mandaluyong, Metro Manila","8531-7476","0101000020E610000014EEF0329E415E404860BD9BB82E2D40"
11,"node/11668456896","Unilab Fire Station","Unilab","Unilab Campus, Mandaluyong",,"0101000020E610000069D25C5D84435E404A8A7E2370262D40"
9,"node/9776176305","Wack-Wack Fire Station","Barangay Wack-wack Greenhills Barangay Fire and Rescue Brigade (BFRB)","Wack-Wack Greenhills, Mandaluyong",,"0101000020E6100000A06A99B18D435E40227832EEBC2B2D40"
14,,"DB Pentagon Fire Rescue Brigade","Barangay Fire and Rescue Brigade (BFRB) Daang Bakal Volunteers","Shaw Boulevard corner Kalentong, Barangay Daang Bakal, H2RH+JCX, Mandaluyong City, Metro Manila, Philippines",,"0101000020E610000000008086D5415E407935DFB7E42E2D40"
