Barangay,Year,Month,Forecast_Month,Predicted_Cases,Lower_Bound,Upper_Bound,Risk_Level,Risk_Flag,Model_Used,Confidence_Interval,Period_Type
Addition Hills,2010,5,2010-04-30,0.000000,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2010,6,2010-05-31,1.059833,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2010,7,2010-06-30,-0.057251,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2010,8,2010-07-31,0.000000,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2010,9,2010-08-31,0.000000,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2010,10,2010-09-30,0.000000,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2010,11,2010-10-31,1.121456,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2010,12,2010-11-30,-0.057251,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,1,2010-12-31,1.121456,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,2,2011-01-31,2.105265,,,High,true,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,3,2011-02-28,-0.089210,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,4,2011-03-31,1.121456,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,5,2011-04-30,-0.075364,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,6,2011-05-31,0.045188,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,7,2011-06-30,3.484315,,,Very High,true,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,8,2011-07-31,0.876999,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,9,2011-08-31,0.517807,,,Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,10,2011-09-30,0.307053,,,Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,11,2011-10-31,0.294479,,,Very Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2011,12,2011-11-30,0.699079,,,Low,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,1,2011-12-31,0.900884,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,2,2012-01-31,0.934921,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,3,2012-02-29,0.851548,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,4,2012-03-31,0.957020,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,5,2012-04-30,1.117770,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,6,2012-05-31,0.840415,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,7,2012-06-30,1.389804,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,8,2012-07-31,1.363522,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,9,2012-08-31,1.549453,,,High,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,10,2012-09-30,1.071939,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,11,2012-10-31,0.961098,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2012,12,2012-11-30,0.981579,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2013,1,2012-12-31,1.096118,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2013,2,2013-01-31,1.080357,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2013,3,2013-02-28,1.220952,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2013,4,2013-03-31,1.059954,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2013,5,2013-04-30,1.488406,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2013,6,2013-05-31,1.127101,,,Medium,false,SARIMAX (fitted),,historical_fitted
Addition Hills,2013,7,2013-06-30,1.180970,,,Medium,false,SARIMAX (fitted),,historical_fitted
