barangay,month,year,date,predicted_cases,lower_bound,upper_bound,risk_level,risk_flag,model
Addition Hills,1,2025,2025-01,0.857,0.0,4.52,Medium,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,2,2025,2025-02,1.18,0.0,5.531,High,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,3,2025,2025-03,0.977,0.0,5.135,Medium,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,4,2025,2025-04,0.574,0.0,3.892,Medium,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,5,2025,2025-05,0.542,0.0,3.804,Medium,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,6,2025,2025-06,0.758,0.0,4.478,Medium,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,7,2025,2025-07,0.691,0.0,4.271,Medium,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,8,2025,2025-08,0.713,0.0,4.338,Medium,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,9,2025,2025-09,0.302,0.0,3.057,Low-Moderate,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,10,2025,2025-10,0.464,0.0,3.563,Low-Moderate,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,11,2025,2025-11,0.896,0.0,4.91,Medium,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,12,2025,2025-12,0.852,0.0,4.768,Medium,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,1,2026,2026-01,1.157,0.0,5.785,High,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,2,2026,2026-02,1.165,0.0,5.813,High,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Addition Hills,3,2026,2026-03,1.05,0.0,5.455,High,Elevated Risk,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)"
Bagong Silang,1,2025,2025-01,0.191,0.0,0.798,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,2,2025,2025-02,0.035,0.0,0.57,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,3,2025,2025-03,0.094,0.0,0.662,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,4,2025,2025-04,0.07,0.0,0.625,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,5,2025,2025-05,0.08,0.0,0.64,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,6,2025,2025-06,0.076,0.0,0.634,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,7,2025,2025-07,0.077,0.0,0.637,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,8,2025,2025-08,0.077,0.0,0.636,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,9,2025,2025-09,0.077,0.0,0.636,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,10,2025,2025-10,0.077,0.0,0.636,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,11,2025,2025-11,0.077,0.0,0.636,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,12,2025,2025-12,0.077,0.0,0.636,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,1,2026,2026-01,0.077,0.0,0.636,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,2,2026,2026-02,0.077,0.0,0.636,Very Low,,"ARIMA(1, 0, 1)"
Bagong Silang,3,2026,2026-03,0.077,0.0,0.636,Very Low,,"ARIMA(1, 0, 1)"
Barangka Drive,5,2024,2024-05,0.06,0.0,1.25,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,6,2024,2024-06,0.11,0.0,1.359,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,7,2024,2024-07,0.176,0.0,1.526,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,8,2024,2024-08,0.087,0.0,1.348,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,9,2024,2024-09,0.181,0.0,1.57,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,10,2024,2024-10,0.184,0.0,1.594,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,11,2024,2024-11,0.181,0.0,1.604,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,12,2024,2024-12,0.184,0.0,1.627,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,1,2025,2025-01,0.182,0.0,1.638,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,2,2025,2025-02,0.182,0.0,1.654,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,3,2025,2025-03,0.182,0.0,1.671,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,4,2025,2025-04,0.086,0.0,1.469,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,5,2025,2025-05,0.173,0.0,1.669,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,6,2025,2025-06,0.169,0.0,1.678,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Drive,7,2025,2025-07,0.158,0.0,1.665,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,8,2024,2024-08,0.008,0.0,0.513,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,9,2024,2024-09,0.084,0.0,0.63,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,10,2024,2024-10,0.074,0.0,0.616,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,11,2024,2024-11,0.075,0.0,0.618,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,12,2024,2024-12,0.181,0.0,0.777,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,1,2025,2025-01,0.075,0.0,0.618,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,2,2025,2025-02,0.075,0.0,0.618,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,3,2025,2025-03,0.075,0.0,0.618,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,4,2025,2025-04,0.061,0.0,0.596,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,5,2025,2025-05,0.077,0.0,0.621,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,6,2025,2025-06,0.075,0.0,0.618,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,7,2025,2025-07,0.165,0.0,0.754,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,8,2025,2025-08,0.076,0.0,0.627,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,9,2025,2025-09,0.087,0.0,0.643,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ibaba,10,2025,2025-10,0.086,0.0,0.641,Very Low,,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)"
Barangka Ilaya,1,2025,2025-01,0.221,0.0,1.382,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,2,2025,2025-02,0.221,0.0,1.385,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,3,2025,2025-03,0.221,0.0,1.386,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,4,2025,2025-04,0.221,0.0,1.388,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,5,2025,2025-05,0.221,0.0,1.389,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,6,2025,2025-06,0.221,0.0,1.391,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,7,2025,2025-07,0.221,0.0,1.392,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,8,2025,2025-08,0.221,0.0,1.393,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,9,2025,2025-09,0.221,0.0,1.394,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,10,2025,2025-10,0.22,0.0,1.394,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,11,2025,2025-11,0.22,0.0,1.395,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,12,2025,2025-12,0.22,0.0,1.395,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,1,2026,2026-01,0.22,0.0,1.396,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,2,2026,2026-02,0.22,0.0,1.396,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Ilaya,3,2026,2026-03,0.22,0.0,1.397,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Itaas,7,2024,2024-07,0.265,0.0,1.133,Low-Moderate,,"ARIMA(1, 0, 1)"
Barangka Itaas,8,2024,2024-08,0.151,0.0,0.962,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,9,2024,2024-09,0.133,0.0,0.932,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,10,2024,2024-10,0.13,0.0,0.927,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,11,2024,2024-11,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,12,2024,2024-12,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,1,2025,2025-01,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,2,2025,2025-02,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,3,2025,2025-03,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,4,2025,2025-04,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,5,2025,2025-05,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,6,2025,2025-06,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,7,2025,2025-07,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
Barangka Itaas,8,2025,2025-08,0.13,0.0,0.926,Very Low,,"ARIMA(1, 0, 1)"
