Barangay,Date,Year,Month,Record_Type,Value
Addition Hills,2010-04-30,2010,5,actual,1.000000
Addition Hills,2010-04-30,2010,5,fitted,0.000000
Addition Hills,2010-05-31,2010,6,actual,0.000000
Addition Hills,2010-05-31,2010,6,fitted,1.059833
Addition Hills,2010-06-30,2010,7,actual,0.000000
Addition Hills,2010-06-30,2010,7,fitted,-0.057251
Addition Hills,2010-07-31,2010,8,actual,0.000000
Addition Hills,2010-07-31,2010,8,fitted,0.000000
Addition Hills,2010-08-31,2010,9,actual,0.000000
Addition Hills,2010-08-31,2010,9,fitted,0.000000
Addition Hills,2010-09-30,2010,10,actual,1.000000
Addition Hills,2010-09-30,2010,10,fitted,0.000000
Addition Hills,2010-09-30,2010,10,moving_avg_6,0.333333
Addition Hills,2010-10-31,2010,11,actual,0.000000
Addition Hills,2010-10-31,2010,11,fitted,1.121456
Addition Hills,2010-10-31,2010,11,moving_avg_6,0.166667
Addition Hills,2010-11-30,2010,12,actual,1.000000
Addition Hills,2010-11-30,2010,12,fitted,-0.057251
Addition Hills,2010-11-30,2010,12,moving_avg_6,0.333333
Addition Hills,2010-12-31,2011,1,actual,2.000000
Addition Hills,2010-12-31,2011,1,fitted,1.121456
Addition Hills,2010-12-31,2011,1,moving_avg_6,0.666667
Addition Hills,2011-01-31,2011,2,actual,0.000000
Addition Hills,2011-01-31,2011,2,fitted,2.105265
Addition Hills,2011-01-31,2011,2,moving_avg_6,0.666667
Addition Hills,2011-02-28,2011,3,actual,1.000000
Addition Hills,2011-02-28,2011,3,fitted,-0.089210
Addition Hills,2011-02-28,2011,3,moving_avg_6,0.833333
Addition Hills,2011-03-31,2011,4,actual,0.000000
Addition Hills,2011-03-31,2011,4,fitted,1.121456
Addition Hills,2011-03-31,2011,4,moving_avg_6,0.666667
Addition Hills,2011-04-30,2011,5,actual,0.000000
Addition Hills,2011-04-30,2011,5,fitted,-0.075364
Addition Hills,2011-04-30,2011,5,moving_avg_6,0.666667
Addition Hills,2011-05-31,2011,6,actual,3.000000
Addition Hills,2011-05-31,2011,6,fitted,0.045188
Addition Hills,2011-05-31,2011,6,moving_avg_6,1.000000
Addition Hills,2011-06-30,2011,7,actual,0.000000
Addition Hills,2011-06-30,2011,7,fitted,3.484315
Addition Hills,2011-06-30,2011,7,moving_avg_6,0.666667
Addition Hills,2011-07-31,2011,8,actual,0.000000
Addition Hills,2011-07-31,2011,8,fitted,0.876999
Addition Hills,2011-07-31,2011,8,moving_avg_6,0.666667
